Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.001,
Sample Interval,1e-06,
Record Length,10000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.5
Label,,
TIME,CH1,CH2
-1.7190e-03,-0.01,0.12
-1.7180e-03,0.01,0.08
-1.7170e-03,0.01,0.06
-1.7160e-03,0.03,0.08
-1.7150e-03,0.03,0.16
-1.7140e-03,-0.01,0.1
-1.7130e-03,0.01,0.08
-1.7120e-03,0.01,0.08
-1.7110e-03,0.03,0.12
-1.7100e-03,0.03,0.12
-1.7090e-03,0.03,0.08
-1.7080e-03,0.03,0.06
-1.7070e-03,0.01,0.1
-1.7060e-03,0.05,0.08
-1.7050e-03,0.03,0.04
-1.7040e-03,-0.01,0.06
-1.7030e-03,0.01,0.08
-1.7020e-03,-0.03,0.08
-1.7010e-03,0.01,0.08
-1.7000e-03,0.01,0.1
-1.6990e-03,0.03,0.06
-1.6980e-03,0.05,0.08
-1.6970e-03,0.03,0.1
-1.6960e-03,0.05,0.08
-1.6950e-03,0.01,0.04
-1.6940e-03,-0.01,0.06
-1.6930e-03,0.03,0.08
-1.6920e-03,-0.01,0.08
-1.6910e-03,-0.01,0.08
-1.6900e-03,0.03,0.06
-1.6890e-03,-0.03,0.1
-1.6880e-03,-0.03,0.1
